domain,avg_d2,med_d2,sd_d2,min_d2,max_d2,delta_min_d2,delta_max_d2,avg_d5,med_d5,sd_d5,min_d5,max_d5,delta_min_d5,delta_max_d5,frac_d2,frac_d5,description,act_avg_d2,act_med_d2,act_sd_d2,act_min_d2,act_max_d2,act_delta_min_d2,act_delta_max_d2,rep_avg_d5,rep_med_d5,rep_sd_d5,rep_min_d5,rep_max_d5,rep_delta_min_d5,rep_delta_max_d5,is_activator,is_repressor,baseline_type,prior_type,gene
DMD_control_tiles;ENSG00000198947;;31;,NA,NA,NA,Inf,-Inf,NA,-Inf,NA,NA,NA,Inf,-Inf,NA,-Inf,NA,NA,Activator,NA,NA,NA,Inf,-Inf,NA,-Inf,NA,NA,NA,Inf,-Inf,NA,-Inf,NA,NA,Non-hit,Activator,
Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,0.32118798185995867,0.16027600100661507,1.4893922472923324,-2.828881932676929,4.1007182323522,2.989157933683544,6.929600165029129,1.8676600776852372,1.7877402490143217,0.44407334431533013,0.6228924358781351,2.4525084426049633,1.1648478131361866,1.8296160067268281,0.5833333333333334,0.041666666666666664,Activator,1.1897874002672322,0.6443131516661789,1.2261688579041803,0.07073811898592797,4.1007182323522,0.5735750326802509,4.029980113366272,NA,NA,NA,Inf,-Inf,NA,-Inf,TRUE,FALSE,Activator,Activator,
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,-1.1311904623412028,-1.180896711987505,0.6673046270045645,-1.942268810417462,0.6219952543599245,0.761372098429957,2.5642640647773867,2.2849578247472833,2.2864721312180527,0.7966513730857414,0.19498383332328395,4.040250551334264,2.091488297894769,3.84526671801098,0.05263157894736842,0.05,Activator,0.6219952543599245,0.6219952543599245,NA,0.6219952543599245,0.6219952543599245,0,0,NA,NA,NA,Inf,-Inf,NA,-Inf,FALSE,FALSE,Non-hit,Activator,
Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,0.718069307912185,0.9363751241522347,1.2259984792973369,-1.2537049817352717,2.4672447948392637,2.1900801058875063,3.7209497765745354,1.5876136567987422,1.7924097389088955,0.6402703605042649,0.06440381589197303,2.6455854122326334,1.7280059230169225,2.5811815963406604,0.625,0.125,Activator,1.5089252333052934,1.7572663814044636,0.7598271873169438,0.08926713228608797,2.4672447948392637,1.6679992491183755,2.377977662553176,NA,NA,NA,Inf,-Inf,NA,-Inf,TRUE,FALSE,Activator,Activator,
Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,0.004796729981767272,0.06498310542268299,1.0181822947590415,-1.5247602076463054,2.123513263592091,1.5897433130689884,3.6482734712383964,0.8723628632841661,1.0629888506424752,0.8181968343514567,-1.069921290622974,2.2949015148569605,2.132910141265449,3.3648228054799345,0.5652173913043478,0.4166666666666667,Activator,0.7493700653545252,0.399083962558761,0.7566019993057104,0.06498310542268299,2.123513263592091,0.334100857136078,2.058530158169408,-0.6428332635522932,-0.6466123380389486,0.42899004852998757,-1.069921290622974,-0.2119661619949569,0.42330895258402546,0.8579551286280171,TRUE,TRUE,Dual,Activator,
Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,-0.7113784004925311,-0.6704816468528596,0.6902285408610661,-1.8468747437099904,0.8411332372244893,1.1763930968571308,2.6880079809344797,1.1348323914575673,1.3401963749168406,0.8958554776366005,-0.5507071942002473,2.3970129775464235,1.890903569117088,2.9477201717466706,0.13043478260869565,0.2916666666666667,Activator,0.5871187106639627,0.5871187106639627,0.35923078850167744,0.3331041841034361,0.8411332372244893,0.2540145265605266,0.5080290531210532,-0.43754041530101906,-0.4320492095675024,0.09475072098081579,-0.5507071942002473,-0.33535604786882406,0.11865798463274485,0.21535114633142322,FALSE,TRUE,Repressor,Activator,
Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,-0.6323356176440489,-0.5935965292719424,0.845475770834397,-1.9715843148118637,1.616012574024856,1.3779877855399212,3.58759688883672,1.6083877434912546,1.616256720875736,0.41873256953616267,0.7401563213437683,2.3973362923859183,0.8761003995319676,1.65717997104215,0.16666666666666666,0.041666666666666664,Activator,0.673371519909419,0.5270705104166709,0.7212786375997143,0.02333248477947813,1.616012574024856,0.5037380256371927,1.592680089245378,NA,NA,NA,Inf,-Inf,NA,-Inf,FALSE,FALSE,Non-hit,Activator,
Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,-0.48773583991586605,-0.6938799196211222,1.1765738354112274,-3.694701160526666,1.9563104386220789,3.0008212409055437,5.651011599148745,1.6073092311942994,1.6899903422306215,0.6830804901445481,-0.14446264519288068,2.5043009957434164,1.8344529874235023,2.648763640936297,0.34782608695652173,0.16666666666666666,Activator,0.8440694653555135,0.5478377916143728,0.679114714081287,0.11660123994273798,1.9563104386220789,0.4312365516716349,1.8397091986793408,-0.14446264519288068,-0.14446264519288068,NA,-0.14446264519288068,-0.14446264519288068,0,0,TRUE,FALSE,Activator,Activator,
Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79,-0.4338868107397333,-0.44247917706004364,1.1847229870394587,-3.739922645052891,1.332927491637901,3.2974434679928475,5.072850136690792,1.7555593357575403,1.8039162761282896,0.4156522559329013,0.7526713410933676,2.433836477656079,1.051244935034922,1.6811651365627114,0.2916666666666667,0.041666666666666664,Activator,0.8920188726065232,1.0227198606735624,0.42333083953112166,0.31480602186728046,1.332927491637901,0.7079138388062819,1.0181214697706205,NA,NA,NA,Inf,-Inf,NA,-Inf,TRUE,FALSE,Activator,Activator,
Short_nuclear_domain;WWP2_HUMAN;WW;381;28,-1.3843724785451221,-1.487965711671054,1.0518387098638948,-4.195979591203527,1.0625073660454765,2.7080138795324733,5.258486957249004,1.6407504280740517,1.752904470388273,0.984066386772469,-0.6334141165409417,3.1770952518090585,2.3863185869292147,3.81050936835,0.08695652173913043,0.25,Activator,0.9051371208646957,0.9051371208646957,0.22255513504863947,0.7477668756839148,1.0625073660454765,0.1573702451807809,0.3147404903615617,-0.6334141165409417,-0.6334141165409417,NA,-0.6334141165409417,-0.6334141165409417,0,0,FALSE,TRUE,Repressor,Activator,
